iter	Passed	Remaining
554	909	729
555	910	727
556	911	725
557	913	723
558	914	721
559	916	720
560	918	718
561	919	716
562	921	715
563	923	713
564	924	711
565	925	709
566	927	708
567	929	706
568	930	704
569	932	703
570	933	701
571	935	699
572	936	698
573	938	696
574	939	694
575	941	693
576	943	691
577	944	689
578	946	688
579	948	686
580	949	684
581	951	683
582	952	681
583	953	679
584	955	677
585	957	676
586	958	674
587	960	672
588	961	671
589	963	669
590	964	667
591	966	665
592	967	664
593	969	662
594	970	660
595	972	659
596	974	657
597	975	655
598	977	654
599	979	652
600	980	651
601	982	649
602	983	647
603	985	645
604	986	644
605	988	642
606	989	640
607	991	639
608	992	637
609	994	635
610	1006	640
611	1008	639
612	1009	637
613	1011	636
614	1013	634
615	1015	632
616	1017	631
617	1019	630
618	1021	628
619	1023	627
620	1024	625
621	1026	623
622	1028	622
623	1029	620
624	1031	618
625	1032	617
626	1034	615
627	1036	613
628	1038	612
629	1039	610
630	1041	608
631	1042	607
632	1044	605
633	1045	603
634	1047	601
635	1048	600
636	1050	598
637	1051	596
638	1053	595
639	1055	593
640	1056	591
641	1058	590
642	1060	588
643	1061	586
644	1063	585
645	1064	583
646	1066	582
647	1068	580
648	1070	578
649	1071	577
650	1073	575
651	1075	573
652	1076	572
653	1078	570
654	1080	568
655	1081	567
656	1083	565
657	1085	564
658	1086	562
659	1088	560
660	1090	559
661	1091	557
662	1093	555
663	1094	553
664	1096	552
665	1097	550
666	1099	548
667	1101	547
668	1102	545
669	1104	543
670	1105	542
671	1107	540
672	1109	538
673	1110	537
674	1112	535
675	1113	533
676	1115	532
677	1116	530
678	1118	528
679	1120	527
680	1121	525
681	1123	523
682	1125	522
683	1126	520
684	1128	518
685	1129	517
686	1131	515
687	1132	513
688	1134	512
689	1136	510
690	1137	508
691	1139	507
692	1140	505
693	1142	503
694	1143	502
695	1145	500
696	1146	498
697	1148	496
698	1150	495
699	1151	493
700	1153	491
701	1154	490
702	1156	488
703	1157	486
704	1159	485
705	1160	483
706	1162	481
707	1164	480
708	1165	478
709	1167	476
710	1168	475
711	1170	473
712	1171	471
713	1173	470
714	1175	468
715	1176	466
716	1178	465
717	1180	463
718	1181	461
719	1183	460
720	1184	458
721	1186	456
722	1188	455
723	1189	453
724	1191	451
725	1192	450
726	1194	448
727	1195	446
728	1197	445
729	1199	443
730	1200	441
731	1202	440
732	1203	438
733	1205	436
734	1206	435
735	1208	433
736	1210	431
737	1211	430
738	1213	428
739	1214	426
740	1216	425
741	1218	423
742	1219	421
743	1221	420
744	1222	418
745	1224	416
746	1225	415
747	1227	413
748	1229	411
749	1230	410
750	1232	408
751	1233	406
752	1235	405
753	1236	403
754	1238	401
755	1239	400
756	1241	398
757	1242	396
758	1244	395
759	1245	393
760	1247	391
761	1248	390
762	1250	388
763	1252	386
764	1253	385
765	1255	383
766	1256	381
767	1258	380
768	1260	378
769	1261	376
770	1263	375
771	1264	373
772	1266	371
773	1268	370
774	1269	368
775	1271	366
776	1272	365
777	1274	363
778	1275	361
779	1277	360
780	1279	358
781	1280	356
782	1282	355
783	1283	353
784	1285	351
785	1286	350
786	1288	348
787	1289	346
788	1291	345
789	1292	343
790	1294	342
791	1296	340
792	1297	338
793	1299	337
794	1300	335
795	1302	333
796	1303	332
797	1305	330
798	1306	328
799	1308	327
800	1309	325
801	1311	323
802	1313	322
803	1314	320
804	1316	318
805	1317	317
806	1319	315
807	1320	313
808	1322	312
809	1324	310
810	1325	308
811	1327	307
812	1328	305
813	1330	303
814	1331	302
815	1333	300
816	1334	298
817	1336	297
818	1337	295
819	1339	294
820	1341	292
821	1342	290
822	1344	289
823	1345	287
824	1347	285
825	1349	284
826	1350	282
827	1352	280
828	1353	279
829	1355	277
830	1357	276
831	1358	274
832	1360	272
833	1361	271
834	1363	269
835	1364	267
836	1366	266
837	1368	264
838	1369	262
839	1371	261
840	1372	259
841	1374	257
842	1375	256
843	1377	254
844	1379	252
845	1380	251
846	1382	249
847	1383	248
848	1385	246
849	1386	244
850	1388	243
851	1389	241
852	1391	239
853	1393	238
854	1394	236
855	1396	234
856	1397	233
857	1399	231
858	1400	229
859	1402	228
860	1403	226
861	1405	225
862	1407	223
863	1408	221
864	1410	220
865	1411	218
866	1413	216
867	1414	215
868	1416	213
869	1417	211
870	1419	210
871	1421	208
872	1422	206
873	1424	205
874	1425	203
875	1427	202
876	1428	200
877	1430	198
878	1431	197
879	1433	195
880	1435	193
881	1436	192
882	1438	190
883	1439	188
884	1441	187
885	1442	185
886	1444	184
887	1446	182
888	1447	180
889	1449	179
890	1451	177
891	1452	175
892	1454	174
893	1455	172
894	1457	170
895	1458	169
896	1460	167
897	1461	166
898	1463	164
899	1465	162
900	1466	161
901	1468	159
902	1469	157
903	1471	156
904	1472	154
905	1474	152
906	1476	151
907	1478	149
908	1479	148
909	1481	146
910	1483	144
911	1484	143
912	1486	141
913	1487	140
914	1489	138
915	1491	136
916	1492	135
917	1494	133
918	1495	131
919	1497	130
920	1499	128
921	1500	126
922	1502	125
923	1503	123
924	1505	122
925	1506	120
926	1508	118
927	1510	117
928	1511	115
929	1513	113
930	1514	112
931	1516	110
932	1518	109
933	1519	107
934	1521	105
935	1522	104
936	1524	102
937	1525	100
938	1527	99
939	1529	97
940	1530	95
941	1532	94
942	1533	92
943	1535	91
944	1536	89
945	1538	87
946	1539	86
947	1541	84
948	1543	82
949	1544	81
950	1546	79
951	1547	78
952	1549	76
953	1551	74
954	1552	73
955	1554	71
956	1555	69
957	1557	68
958	1558	66
959	1560	65
960	1562	63
961	1563	61
962	1565	60
963	1566	58
964	1568	56
965	1569	55
966	1571	53
967	1573	52
968	1575	50
969	1576	48
970	1578	47
971	1579	45
972	1581	43
973	1582	42
974	1584	40
975	1585	38
976	1587	37
977	1589	35
978	1590	34
979	1592	32
980	1593	30
981	1595	29
982	1596	27
983	1598	25
984	1600	24
985	1601	22
986	1603	21
987	1604	19
988	1606	17
989	1608	16
990	1609	14
991	1611	12
992	1612	11
993	1614	9
994	1615	8
995	1617	6
996	1619	4
997	1620	3
998	1622	1
999	1623	0
