iter	Logloss
0	0.6897747805
1	0.6862034179
2	0.6834201522
3	0.6804920135
4	0.6776877205
5	0.6748582141
6	0.6722300247
7	0.6697335532
8	0.6676566683
9	0.665424265
10	0.6631836093
11	0.6608714021
12	0.6586624862
13	0.6567800078
14	0.6550574725
15	0.6531304442
16	0.6514870807
17	0.6499996639
18	0.6484232179
19	0.6468071852
20	0.6453742208
21	0.6442851009
22	0.6429772976
23	0.6417976689
24	0.6405957897
25	0.6397227764
26	0.6385184883
27	0.6376940822
28	0.6366767364
29	0.6356086602
30	0.6347497769
31	0.63408965
32	0.633144864
33	0.632540062
34	0.6319354287
35	0.6311866936
36	0.6305653118
37	0.6298889926
38	0.6291370931
39	0.6286004486
40	0.6281428675
41	0.6276089858
42	0.6269708415
43	0.6264773009
44	0.6259561491
45	0.6255076862
46	0.624960262
47	0.6246371013
48	0.6241255705
49	0.6236430108
50	0.6231748653
51	0.6227359717
52	0.6225553306
53	0.6222165465
54	0.6218738756
55	0.6214858557
56	0.6212673041
57	0.6210636479
58	0.6207616116
59	0.6205702086
60	0.6203797248
61	0.6200714813
62	0.6198126222
63	0.6196091501
64	0.6193399853
65	0.6191116545
66	0.6188516798
67	0.6186112068
68	0.6184752679
69	0.6182923721
70	0.618182566
71	0.6179683808
72	0.61776847
73	0.6176130668
74	0.6174910718
75	0.6173042348
76	0.6171334376
77	0.6170017776
78	0.6168891363
79	0.6167680046
80	0.6166179115
81	0.6164769348
82	0.6163699075
83	0.6163100708
84	0.6161790591
85	0.6161086596
86	0.6160246988
87	0.6159327586
88	0.6158504334
89	0.6157788411
90	0.6157375577
91	0.615658977
92	0.6155910654
93	0.6155191998
94	0.6154751824
95	0.615388837
96	0.6153621876
97	0.6152761288
98	0.615195936
99	0.6151361609
100	0.615079425
101	0.6150150626
102	0.6149812877
103	0.6149162898
104	0.6148740416
105	0.6148522714
106	0.614787772
107	0.6147614228
108	0.6147046979
109	0.6146779197
110	0.6146353955
111	0.6146033191
112	0.614567084
113	0.6145302857
114	0.614515105
115	0.6144954843
116	0.6144454074
117	0.6144021131
118	0.614364684
119	0.6143483609
120	0.6143315604
121	0.6143032446
122	0.614265183
123	0.6142241553
124	0.614199517
125	0.6141803908
126	0.6141606367
127	0.6141437515
128	0.614130206
129	0.6141071256
130	0.6140933719
131	0.6140722467
132	0.6140428807
133	0.6140260203
134	0.6140149541
135	0.6139963299
136	0.6139795067
137	0.6139625803
138	0.6139475605
139	0.6139386721
140	0.6139230712
141	0.6139115722
142	0.6138948575
143	0.6138766238
144	0.6138654195
145	0.6138558857
146	0.6138379712
147	0.6138265895
148	0.6138127746
149	0.6137975472
150	0.6137936241
151	0.6137813367
152	0.6137821104
153	0.6137596085
154	0.6137481984
155	0.613726122
156	0.6137252404
157	0.6137199519
158	0.6137106636
159	0.6136951591
160	0.6136865784
161	0.6136781405
162	0.61366613
163	0.6136650086
164	0.6136533209
165	0.6136446722
166	0.6136486301
167	0.6136341896
168	0.6136244505
169	0.6136196874
170	0.6136211135
171	0.6136155289
172	0.6136128447
173	0.6136062179
174	0.6136019498
175	0.6136020624
176	0.6135953614
177	0.6135975495
178	0.613591844
179	0.6135916423
180	0.6135816179
181	0.6135770672
182	0.6135739307
183	0.6135712509
184	0.6135706579
185	0.6135698117
186	0.6135614483
187	0.6135538629
188	0.6135519994
189	0.6135479747
190	0.6135472429
191	0.6135462294
192	0.613544863
193	0.6135336381
194	0.6135300121
195	0.6135292111
196	0.6135258248
197	0.6135217345
198	0.6135241139
199	0.6135102443
200	0.6135108578
201	0.6135101577
202	0.6135038481
203	0.6135067937
204	0.6134997094
205	0.6134934963
206	0.613499221
207	0.6134894036
208	0.6134925176
209	0.6134867274
210	0.6134871592
211	0.6134799321
212	0.6134746843
213	0.6134751779
214	0.613478076
215	0.6134777966
216	0.6134732761
217	0.6134704306
218	0.6134687865
219	0.6134699921
220	0.6134663233
221	0.6134711787
222	0.6134676982
223	0.6134632992
224	0.6134650016
225	0.6134553047
226	0.6134521945
227	0.6134512759
228	0.6134523177
229	0.6134532406
230	0.6134515272
231	0.6134504667
232	0.6134470765
233	0.6134476952
234	0.6134447111
235	0.6134426662
236	0.6134476854
237	0.6134444181
